1002,Cally Jacobs,Main Office,17.5,2023-10-15T06:09:32,2023-10-15T08:43:18,153.0
1002,Cally Jacobs,Main Office,17.5,2023-10-15T12:19:44,2023-10-15T17:18:25,298.0
1002,Cally Jacobs,Main Office,17.5,2023-10-16T06:12:22,2023-10-16T11:46:55,334.0
1002,Cally Jacobs,Main Office,17.5,2023-10-16T13:02:38,2023-10-16T13:09:12,6.0
1002,Cally Jacobs,Main Office,17.5,2023-10-17T08:28:13,2023-10-17T11:08:14,160.0
1002,Cally Jacobs,Main Office,17.5,2023-10-17T12:55:55,2023-10-17T14:35:33,99.0
1002,Cally Jacobs,Main Office,17.5,2023-10-18T09:37:51,2023-10-18T11:41:02,123.0
1002,Cally Jacobs,Main Office,17.5,2023-10-18T12:15:34,2023-10-18T17:29:42,314.0
1002,Cally Jacobs,Main Office,17.5,2023-10-19T09:38:07,2023-10-19T09:44:22,6.0
1002,Cally Jacobs,Main Office,17.5,2023-10-19T12:59:41,2023-10-19T15:17,137.0
1002,Cally Jacobs,Main Office,17.5,2023-10-20T06:08:56,2023-10-20T07:23:30,74.0
1002,Cally Jacobs,Main Office,17.5,2023-10-20T13:14:13,2023-10-20T17:51:50,277.0
1002,Cally Jacobs,Main Office,17.5,2023-10-21T07:37:51,2023-10-21T08:22:15,44.0
1002,Cally Jacobs,Main Office,17.5,2023-10-21T13:04:03,2023-10-21T15:00:53,116.0
1006,Ramona Huber,Rec Center,24.0,2023-10-15T08:42:35,2023-10-15T10:41:49,119.0
1006,Ramona Huber,Rec Center,24.0,2023-10-15T14:25:48,2023-10-15T15:05,39.0
1006,Ramona Huber,Rec Center,24.0,2023-10-16T14:35:40,2023-10-16T16:33:45,118.0
1006,Ramona Huber,Rec Center,24.0,2023-10-17T06:36:04,2023-10-17T09:59:59,203.0
1006,Ramona Huber,Rec Center,24.0,2023-10-17T12:32:41,2023-10-17T12:58:03,25.0
